Language,# unique BCTs,black,white,red,yellow,blue,green,brown,#FF9999,orange,gray,purple,#87CEFA,#00008B,#FFB6C1,#8B0000,#FF9933,#B86E25,#60311B,#CCFFCC,#197419,#CCCCCC,#4D4D4D,#B366B3,#4D004D,teal
Dani,2,mili,mola,,,,,,,,,,,,,,,,,,,,,,,
OvaHimba,4,,vapa,dambu,vapa,buru,buru,dambu,,,,,,zuzu,,,,,zuzu,,zuzu,,,,zuzu,
Gupapuyngu,4,gurrngan,gaywarangu,,miku'mirri,milkuminymirri,milkuminymirri,gurrngan,miku'mirri,,,,,,,,,,,,,,,,,
Maldivian,4,(kalu),(hudu),(rai),,(nú),(nú),,,,,,,,,,,,,,,,,,,
Maxakalí,4,mũnĩy,,xutta,ãta,yĩxux,yĩxux,,,,,,,,,,,,,,,,,,,
Panare,4,tɨ-puku-re,tamuʔɲe,t-ukin-ke,t-ukin-ke,t-akuˀya-ke,t-akuˀya-ke,,,,,,,,,,,,,,,,,,,
Tuyuca,4,yî’̃,bu’ti,sõ’ã,sõ’ã,sɨ̃’bẽ,sɨ̃’bẽ,,,,,,,,,,,,,,,,,,,
Yuwana,4,waleiʰte,kʸabo,tuwẽlõ,tuwẽlõ,lũʰtibo,lũʰtibo,,,,,,,,,,,,,,,,,,,
Aguacatec,5,q̣eq,saq,kyaq,q̣an,č̣aʔs,č̣aʔs,,,,,,,,,,,,,,,,,,,
Amarakaeri,5,wasik,waˀereg,wabed,waey,,wabura,,,,,,,,,,,,,,,,,,,
Ayoreo,5,uta’ta-i,‘pororo-i,kara-‘taai,‘sarẽ,maaŋnataai,‘sarẽ,,,,,,,,,,,,,,,,,,,
Bari,5,bachirry,bary,bokorany,karikashukdury,,birraikarany,,,,,,,,,,,,,,,,,,,
Basque,5,beltz,zuri,gorri,hori,urdin,,,,,,,,,,,,,,,,,,,,
Bassa,5,kpɛ̃̀,púú,zĩ-zã,ɖaa-cànà,,hwúe-dyèɖè,,,,,,,,,,,,,,,,,,,
Burushaski,5,mʌtum,buruːm,baːrdʊm,ɪṣkərk,,ɪṣqʌm,,,,,,,,,,,,,,,,,,,
Cakchiquel,5,q̣eq,səq,kəq,q̣ən,rəš,rəš,,,,,,,,,,,,,,,,,,,
Cavineña,5,sewe-da,paha-da,pode-da,hawa-da,sawa-da,sawa-da,,,,,,,,,,,,,,,,,,,
Chácobo,5,čɨkɨ,hoṣ̌o,piši,šini,niaβa,niaβa,,,,,,,,,,,,,,,,,,,
Chiriguano,5,-hũu,tĩi,pɨ̃ta,iǰu,howɨ,howɨ,,,,,,,,,,,,,,,,,,,
Chuj,5,ḳiḳ,sak,čak,ḳan,yaš,yaš,,,,,,,,,,,,,,,,,,,
Cofan,5,sįˀą,totoa,kïˀa,kiyopa,indzią,indzią,,,,,,,,,,,,,,,,,,,
Colorado,5,pa-ˀba-‘kã,ɸi-ʰ’ˀbã,‘lu-ˀbã,laʰ’ke-ˀbã,loʰsĩ-ˀba,loʰsĩ-ˀba,,,,,,,,,,,,,,,,,,,
Emberá,5,paima,tořo,puřu,kuara,pãõãrã,pãõãrã,,,,,,,,,,,,,,,,,,,
Epena,5,pʰãimaa,tʰořoo,pʰoree,kʰuaraa,pʰãwaraa,pʰãwaraa,,,,,,,,,,,,,,,,,,,
Evenki,5,karā,ñuberī,hulama,siŋarīn,noɣōn,noɣōn,,,,,,,,,,,,,,,,,,,
Ghulfan,5,úri,oɽí,kɛ́le,baɼɽá,úri,te,,,,,,,,,,,,,,,,,,,
Goajiro,5,mɨtsia,kasu-to-ľu,išosɨ,maľoukati-si-,wɨitɨ-si,wɨitɨ-si,,,,,,,,,,,,,,,,,,,
Huastec,5,eḥeknʔi,ṭakniʔ,tsakniʔ,manuʔ,yašušuul,yašušuul,,,,,,,,,,,,,,,,,,,
Ixil,5,q̣eq,saq,kaq,q̣an,čaʔs,čaʔs,,,,,,,,,,,,,,,,,,,
Kaingang,5,sə,kupri,kɔsɔŋ,mãrɛru,təŋ,təŋ,,,,,,,,,,,,,,,,,,,
Katcha,5,u’du’du,aʔbasa,otɛ,agerikiri,u’du’du,ageri,,,,,,,,,,,,,,,,,,,
Kekchi,5,q̣eq,saq,kaq,ḳan,raš,raš,,,,,,,,,,,,,,,,,,,
Lamut,5,xakarīn,njōbatə̄,xulanjā,xel,čulbanjā,čulbanjā,,,,,,,,,,,,,,,,,,,
Lengua,5,pais-iam,-mopa-iya,-yithwas-e,-yatiktama,-yapakmate,-yapakmate,,,,,,,,,,,,,,,,,,,
Machiguenga,5,potsiari,kútari,kiraári,kiteri,kamachonkari,,,,,,,,,,,,,,,,,,,,
Macushi,5,arikkɨtun,aimutun,suuyu,aʔmutun,rora,rora,,,,,,,,,,,,,,,,,,,
Mamanwa,5,maʔitɨm,mapotik,mararag,madolaw,,grin,,,,,,,,,,,,,,,,,,,
Mehri,5,ḥōwer,ewbōn,ʔōfer,kerkēm,heźáwr,heźáwr,,,,,,,,,,,,,,,,,,,
Nafusi,5,zeṭṭåf,mellel,zuggaġ,illéṣfår,werraġ,werraġ,,,,,,,,,,,,,,,,,,,
Nganasan,5,heŋkə,si̮rajkuo,d’abakuo,tod’akuo,ŋind a˝si̮e,ŋind a˝si̮e,,,,,,,,,,,,,,,,,,,
Ninam,5,uši,šîe,ĩe,walapasipi,palahi,palahi,,,,,,,,,,,,,,,,,,,
Orejón,5,nea,bo-,ma,sʋñohaihʋ̨,bodi hą,bodi hą,,,,,,,,,,,,,,,,,,,
Páez,5,khũč,čihme,beh,lem,c̄ẽy,c̄ẽy,,,,,,,,,,,,,,,,,,,
Pitta Pitta,5,tympa,warrhaputha,kurrhi~,parrhu~,tympa,kalyirrhka,,,,,,,,,,,,,,,,,,,
Puinave,5,-pik,-bək,-kət,-hut,-ãk,-ãk,,,,,,,,,,,,,,,,,,,
Qawesqar,5,semen,aḳyefḳyar,ḳyeyero,tˀel,arḳʰa,arḳʰa,,,,,,,,,,,,,,,,,,,
Quiché,5,q̣eq,səq,kaq,q̣ən,rəš,rəš,,,,,,,,,,,,,,,,,,,
Sei,5,kōpoɬ,kōχp,čēɬ,emasoɬ,koiɬ,koiɬ,,,,,,,,,,,,,,,,,,,
